well,id,well-id,well-id,puncta,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
C12,8,C12-8,C12-8,0,ubqln2-P506T-?UBL,1,78.59450727,NA,NA,NA,20.80050722,NA,NA,NA,0.264655991,NA,NA,NA
C12,82,C12-82,C12-82,0,ubqln2-P506T-?UBL,7,66.64414414,63.95070423,59.8267148,54.74632353,25.72488606,22.58281394,25.07387513,16.1114565,0.386003698,0.353128464,0.41910834,0.29429294
C12,85,C12-85,C12-85,0,ubqln2-P506T-?UBL,1,76.73640167,NA,NA,NA,20.52454325,NA,NA,NA,0.267468148,NA,NA,NA
C12,87,C12-87,C12-87,0,ubqln2-P506T-?UBL,6,81.98245614,63.1369863,54.35114504,63.06406685,23.2972713,16.03892104,14.05546465,15.30302339,0.284173864,0.254033681,0.258604757,0.242658366
C12,9,C12-9,C12-9,0,ubqln2-P506T-?UBL,5,105.8201835,134.6416667,162.4139535,178.6714286,53.32036425,119.9734898,176.3381287,124.7300767,0.503877072,0.89105767,1.085732629,0.698097495
C12,90,C12-90,C12-90,0,ubqln2-P506T-?UBL,4,72.77294686,114.432,163.0519481,235.7068966,20.872089,63.36621636,157.7621477,303.0843605,0.286811101,0.553745599,0.967557577,1.285852748
C12,91,C12-91,C12-91,0,ubqln2-P506T-?UBL,8,62.53763441,75.15122873,58.13513514,65.50636943,17.12962962,26.53819524,16.93463134,16.93341092,0.273909139,0.353130557,0.291297703,0.25850022
C12,97,C12-97,C12-97,0,ubqln2-P506T-?UBL,9,105.9504951,134.6837607,184.9855372,213.8187633,30.68423539,60.88680819,99.96363904,147.1069089,0.289609174,0.45207238,0.540386241,0.687998128
D12,1,D12-1,D12-1,0,ubqln2-P506T-?UBL,2,106.1356443,149.7911504,NA,NA,31.49901715,79.35732292,NA,NA,0.29678076,0.529786457,NA,NA
D12,10,D12-10,D12-10,0,ubqln2-P506T-?UBL,2,127.1318373,141.7132988,NA,NA,40.71857382,47.21926233,NA,NA,0.320286206,0.33320276,NA,NA
D12,102,D12-102,D12-102,0,ubqln2-P506T-?UBL,3,73.88105727,90.4953271,141.1863727,NA,23.37133571,41.59391442,212.3482113,NA,0.316337321,0.459624997,1.504027671,NA
D12,103,D12-103,D12-103,0,ubqln2-P506T-?UBL,3,81.29047619,122.4732965,73.657277,NA,27.11889878,135.6150261,51.10782036,NA,0.333604871,1.107302816,0.693859758,NA
D12,104,D12-104,D12-104,0,ubqln2-P506T-?UBL,4,71.70089286,87.76038339,84.03878116,85.76349614,25.61502069,37.78250473,63.83664786,56.19407798,0.357248281,0.430518912,0.759609397,0.6552214
D12,105,D12-105,D12-105,0,ubqln2-P506T-?UBL,1,102.3432836,NA,NA,NA,32.59378458,NA,NA,NA,0.318475072,NA,NA,NA
D12,106,D12-106,D12-106,0,ubqln2-P506T-?UBL,9,72.13471503,99.80079681,124.7481481,134.0772472,26.98459524,61.53417215,113.0844032,125.0575977,0.374086114,0.616569948,0.906501659,0.932727963
D12,12,D12-12,D12-12,0,ubqln2-P506T-?UBL,1,90.01315789,NA,NA,NA,52.14611839,NA,NA,NA,0.57931662,NA,NA,NA
D12,13,D12-13,D12-13,0,ubqln2-P506T-?UBL,6,101.255988,98.54420732,90.62179487,89.56267409,21.74516348,27.4702921,31.59107231,18.04886125,0.214754346,0.278761105,0.348603472,0.201522134
D12,16,D12-16,D12-16,0,ubqln2-P506T-?UBL,9,94.04098361,114.1145663,107.6274834,120.4093098,26.99473159,82.39736442,78.3856486,154.3431306,0.287052842,0.722058253,0.728305133,1.281820574
D12,2,D12-2,D12-2,0,ubqln2-P506T-?UBL,1,80.88135593,NA,NA,NA,22.4462912,NA,NA,NA,0.277521203,NA,NA,NA
D12,20,D12-20,D12-20,0,ubqln2-P506T-?UBL,9,71.39122137,59.74242424,52.80740741,57.86430318,20.22208752,18.62710413,16.05092034,18.49747018,0.283257341,0.311790229,0.303952062,0.319669799
D12,23,D12-23,D12-23,0,ubqln2-P506T-?UBL,1,109.1769784,NA,NA,NA,35.45598612,NA,NA,NA,0.324756983,NA,NA,NA
D12,26,D12-26,D12-26,0,ubqln2-P506T-?UBL,1,97.35869565,NA,NA,NA,21.82120106,NA,NA,NA,0.224132019,NA,NA,NA
D12,29,D12-29,D12-29,0,ubqln2-P506T-?UBL,1,61.56944444,NA,NA,NA,17.20218929,NA,NA,NA,0.279394908,NA,NA,NA
D12,3,D12-3,D12-3,0,ubqln2-P506T-?UBL,2,82.7534965,132.3939828,NA,NA,42.42105467,36.04960477,NA,NA,0.512619484,0.272290356,NA,NA
D12,31,D12-31,D12-31,0,ubqln2-P506T-?UBL,1,95.2018018,NA,NA,NA,21.09187958,NA,NA,NA,0.221549164,NA,NA,NA
D12,39,D12-39,D12-39,0,ubqln2-P506T-?UBL,9,57.93783784,100.0646766,102.4721649,132.1494253,20.08398382,69.29962917,50.8022419,99.40858779,0.346647106,0.692548375,0.495766259,0.752243815
D12,4,D12-4,D12-4,0,ubqln2-P506T-?UBL,2,106.8087105,94.87988827,NA,NA,34.22813839,19.29858269,NA,NA,0.320462051,0.203400141,NA,NA
D12,46,D12-46,D12-46,0,ubqln2-P506T-?UBL,1,78.5377129,NA,NA,NA,20.54939841,NA,NA,NA,0.261650074,NA,NA,NA
D12,49,D12-49,D12-49,0,ubqln2-P506T-?UBL,1,88.99450549,NA,NA,NA,17.0084004,NA,NA,NA,0.191117421,NA,NA,NA
D12,51,D12-51,D12-51,0,ubqln2-P506T-?UBL,1,74.85994398,NA,NA,NA,24.39641093,NA,NA,NA,0.325894058,NA,NA,NA
D12,57,D12-57,D12-57,0,ubqln2-P506T-?UBL,1,99.36285714,NA,NA,NA,22.01291291,NA,NA,NA,0.22154066,NA,NA,NA
D12,58,D12-58,D12-58,0,ubqln2-P506T-?UBL,1,78.39058172,NA,NA,NA,22.93577254,NA,NA,NA,0.292583267,NA,NA,NA
D12,6,D12-6,D12-6,0,ubqln2-P506T-?UBL,1,132.2907801,NA,NA,NA,58.25750358,NA,NA,NA,0.440374632,NA,NA,NA
D12,61,D12-61,D12-61,0,ubqln2-P506T-?UBL,3,72.97416974,76.21212121,90.1958042,NA,25.95019493,39.83766032,91.819202,NA,0.35560795,0.522720791,1.017998596,NA
D12,68,D12-68,D12-68,0,ubqln2-P506T-?UBL,1,86.4517134,NA,NA,NA,15.91346356,NA,NA,NA,0.184073432,NA,NA,NA
D12,7,D12-7,D12-7,0,ubqln2-P506T-?UBL,1,94.95932679,NA,NA,NA,28.23900748,NA,NA,NA,0.29738003,NA,NA,NA
D12,71,D12-71,D12-71,0,ubqln2-P506T-?UBL,4,108,127.3960396,156.4827586,169.6871795,19.84474624,28.49587286,64.47653713,68.64960896,0.18374765,0.223679425,0.412036046,0.404565679
D12,73,D12-73,D12-73,0,ubqln2-P506T-?UBL,1,59.83388704,NA,NA,NA,16.99498601,NA,NA,NA,0.284036135,NA,NA,NA
D12,76,D12-76,D12-76,0,ubqln2-P506T-?UBL,9,75.41471572,78.98100173,71.64180479,73.98572788,21.28847689,37.26010871,29.47373994,30.59136129,0.282285449,0.471760397,0.411404208,0.41347652
D12,8,D12-8,D12-8,0,ubqln2-P506T-?UBL,1,83.73407643,NA,NA,NA,22.76019373,NA,NA,NA,0.271815188,NA,NA,NA
D12,86,D12-86,D12-86,0,ubqln2-P506T-?UBL,9,97.04090909,119.9486081,161.9465812,149.2979516,43.0987572,75.02805709,172.5521454,153.6656891,0.444129776,0.62550169,1.06548804,1.029255174
